dt,currency,rate_to_rub,nominal
2016-04-09,EUR,76.6888,1
2016-04-09,GBP,95.3028,1
2016-04-09,RUB,1,1
2016-04-09,USD,67.4662,1
2016-04-10,EUR,76.6888,1
2016-04-10,GBP,95.3028,1
2016-04-10,RUB,1,1
2016-04-10,USD,67.4662,1
2016-04-11,EUR,76.6888,1
2016-04-11,GBP,95.3028,1
2016-04-11,RUB,1,1
2016-04-11,USD,67.4662,1
2016-04-12,EUR,76.4957,1
2016-04-12,GBP,95.4115,1
2016-04-12,RUB,1,1
2016-04-12,USD,67.125,1
2016-04-13,EUR,75.8529,1
2016-04-13,GBP,94.7349,1
2016-04-13,RUB,1,1
2016-04-13,USD,66.3456,1
2016-04-14,EUR,74.6578,1
2016-04-14,GBP,93.5919,1
2016-04-14,RUB,1,1
2016-04-14,USD,65.7662,1
2016-04-15,EUR,74.794,1
2016-04-15,GBP,93.9115,1
2016-04-15,RUB,1,1
2016-04-15,USD,66.4954,1
2016-04-16,EUR,74.3405,1
2016-04-16,GBP,93.4672,1
2016-04-16,RUB,1,1
2016-04-16,USD,66.0452,1
2016-04-17,EUR,74.3405,1
2016-04-17,GBP,93.4672,1
2016-04-17,RUB,1,1
2016-04-17,USD,66.0452,1
2016-04-18,EUR,74.3405,1
2016-04-18,GBP,93.4672,1
2016-04-18,RUB,1,1
2016-04-18,USD,66.0452,1
2016-04-19,EUR,77.1273,1
2016-04-19,GBP,96.742,1
2016-04-19,RUB,1,1
2016-04-19,USD,68.2724,1
2016-04-20,EUR,74.3719,1
2016-04-20,GBP,93.9546,1
2016-04-20,RUB,1,1
2016-04-20,USD,65.6474,1
2016-04-21,EUR,75.0107,1
2016-04-21,GBP,94.8943,1
2016-04-21,RUB,1,1
2016-04-21,USD,66.0364,1
2016-04-22,EUR,73.4592,1
2016-04-22,GBP,93.0904,1
2016-04-22,RUB,1,1
2016-04-22,USD,65.0254,1
2016-04-23,EUR,74.6959,1
2016-04-23,GBP,95.0916,1
2016-04-23,RUB,1,1
2016-04-23,USD,66.2198,1
2016-04-24,EUR,74.6959,1
2016-04-24,GBP,95.0916,1
2016-04-24,RUB,1,1
