dt,currency,rate_to_rub,nominal
2016-02-27,EUR,82.9748,1
2016-02-27,GBP,105.0663,1
2016-02-27,RUB,1,1
2016-02-27,USD,75.0903,1
2016-08-27,EUR,73.0892,1
2016-08-27,GBP,85.6031,1
2016-08-27,RUB,1,1
2016-08-27,USD,64.738,1
2016-11-28,EUR,68.4363,1
2016-11-28,GBP,80.3647,1
2016-11-28,RUB,1,1
2016-11-28,USD,64.6174,1
2016-05-26,EUR,73.4596,1
2016-05-26,GBP,96.4965,1
2016-05-26,RUB,1,1
2016-05-26,USD,65.8949,1
2016-04-12,EUR,76.4957,1
2016-04-12,GBP,95.4115,1
2016-04-12,RUB,1,1
2016-04-12,USD,67.125,1
2016-10-13,EUR,69.1173,1
2016-10-13,GBP,76.8345,1
2016-10-13,RUB,1,1
2016-10-13,USD,62.5892,1
2016-07-14,EUR,70.5577,1
2016-07-14,GBP,84.4713,1
2016-07-14,RUB,1,1
2016-07-14,USD,63.8531,1
2016-08-28,EUR,73.0892,1
2016-08-28,GBP,85.6031,1
2016-08-28,RUB,1,1
2016-08-28,USD,64.738,1
2016-02-28,EUR,82.9748,1
2016-02-28,GBP,105.0663,1
2016-02-28,RUB,1,1
2016-02-28,USD,75.0903,1
2016-11-29,EUR,69.1608,1
2016-11-29,GBP,81.209,1
2016-11-29,RUB,1,1
2016-11-29,USD,64.9153,1
2016-04-13,EUR,75.8529,1
2016-04-13,GBP,94.7349,1
2016-04-13,RUB,1,1
2016-04-13,USD,66.3456,1
2016-05-27,EUR,72.8418,1
2016-05-27,GBP,95.977,1
2016-05-27,RUB,1,1
2016-05-27,USD,65.2062,1
2016-01-11,EUR,79.6395,1
2016-01-11,GBP,108.2426,1
2016-01-11,RUB,1,1
2016-01-11,USD,72.9299,1
2016-08-29,EUR,73.0892,1
2016-08-29,GBP,85.6031,1
2016-08-29,RUB,1,1
2016-08-29,USD,64.738,1
2016-10-14,EUR,69.7255,1
2016-10-14,GBP,77.0293,1
2016-10-14,RUB,1,1
2016-10-14,USD,63.3465,1
2016-02-29,EUR,82.9748,1
2016-02-29,GBP,105.0663,1
2016-02-29,RUB,1,1
2016-02-29,USD,75.0903,1
2016-05-28,EUR,73.8474,1
2016-05-28,GBP,96.8298,1
2016-05-28,RUB,1,1
2016-05-28,USD,66.0413,1
2016-04-14,EUR,74.6578,1
2016-04-14,GBP,93.5919,1
2016-04-14,RUB,1,1
2016-04-14,USD,65.7662,1
2016-01-12,EUR,82.809,1
2016-01-12,GBP,110.5614,1
2016-01-12,RUB,1,1
2016-01-12,USD,75.9507,1
2016-08-30,EUR,72.7996,1
2016-08-30,GBP,85.204,1
2016-08-30,RUB,1,1
2016-08-30,USD,65.081,1
2016-10-15,EUR,69.3746,1
2016-10-15,GBP,76.8897,1
2016-10-15,RUB,1,1
2016-10-15,USD,62.9934,1
2016-03-01,EUR,83.1023,1
2016-03-01,GBP,105.2876,1
2016-03-01,RUB,1,1
2016-03-01,USD,75.8994,1
2016-07-15,EUR,70.5644,1
2016-07-15,GBP,84.1255,1
2016-07-15,RUB,1,1
2016-07-15,USD,63.5773,1
2016-11-30,EUR,68.8416,1
2016-11-30,GBP,80.6356,1
2016-11-30,RUB,1,1
2016-11-30,USD,64.9449,1
2016-05-29,EUR,73.8474,1
2016-05-29,GBP,96.8298,1
2016-05-29,RUB,1,1
2016-05-29,USD,66.0413,1
